--------- beginning of crash
06-12 23:12:35.588 F/linker  (19094): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:12:38.304 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.304 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.305 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.392 D/CompatibilityChangeReporter(  637): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 23:12:38.499 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.499 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.499 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.499 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.499 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.500 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.500 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.500 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.500 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.500 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.500 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.500 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.597 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.597 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.597 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.597 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.597 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.597 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.598 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.598 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.598 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.598 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.598 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.598 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.600 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.600 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.600 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.600 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.600 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.600 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.601 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.601 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.601 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.601 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.601 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.601 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.618 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.618 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.618 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.618 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.618 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.618 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.618 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.618 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.618 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.618 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.618 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.618 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.777 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.777 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.777 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.777 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.777 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.778 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.794 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.794 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.794 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.794 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.794 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.794 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:39.442 V/DigitalSignage(  637): Package Name: null
06-12 23:12:39.442 V/DigitalSignage(  637): Left: 0
06-12 23:12:39.442 V/DigitalSignage(  637): Right: 0
06-12 23:12:39.442 V/DigitalSignage(  637): Top: 0
06-12 23:12:39.442 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:39.443 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:39.795 W/[ 2926.915380@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 240
06-12 23:12:40.596 F/linker  (19284): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:12:40.962 V/DisplayPowerController(  637): Brightness [0.05] reason changing to: 'manual [ dim ]', previous reason: 'manual'.
06-12 23:12:41.133 E/TaskPersister(  637): File error accessing recents directory (directory doesn't exist?).
06-12 23:12:42.459 V/DigitalSignage(  637): Package Name: null
06-12 23:12:42.459 V/DigitalSignage(  637): Left: 0
06-12 23:12:42.459 V/DigitalSignage(  637): Right: 0
06-12 23:12:42.459 V/DigitalSignage(  637): Top: 0
06-12 23:12:42.459 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:42.459 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
--------- beginning of main
06-12 23:12:42.512 W/System.err(19139): 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1948)
06-12 23:12:42.512 W/System.err(19139): 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:8177)
06-12 23:12:42.512 W/System.err(19139): 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:972)
06-12 23:12:42.512 W/System.err(19139): 	at android.view.Choreographer.doCallbacks(Choreographer.java:796)
06-12 23:12:42.512 W/System.err(19139): 	at android.view.Choreographer.doFrame(Choreographer.java:731)
06-12 23:12:42.512 W/System.err(19139): 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:957)
06-12 23:12:42.512 W/System.err(19139): 	at android.os.Handler.handleCallback(Handler.java:938)
06-12 23:12:42.512 W/System.err(19139): 	at android.os.Handler.dispatchMessage(Handler.java:99)
06-12 23:12:42.512 W/System.err(19139): 	at android.os.Looper.loop(Looper.java:223)
06-12 23:12:42.512 W/System.err(19139): 	at android.app.ActivityThread.main(ActivityThread.java:7664)
06-12 23:12:42.512 W/System.err(19139): 	at java.lang.reflect.Method.invoke(Native Method)
06-12 23:12:42.512 W/System.err(19139): 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
06-12 23:12:42.512 W/System.err(19139): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:952)
06-12 23:12:42.520 W/System.err(19139): java.lang.IllegalArgumentException: width and height must be > 0
06-12 23:12:42.521 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:1113)
06-12 23:12:42.521 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:1080)
06-12 23:12:42.521 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:1030)
06-12 23:12:42.521 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:991)
06-12 23:12:42.521 W/System.err(19139): 	at com.hotstar.feature.login.profile.customview.CircleImageView.c(SourceFile:46)
06-12 23:12:42.521 W/System.err(19139): 	at com.hotstar.feature.login.profile.customview.CircleImageView.setImageDrawable(SourceFile:4)
06-12 23:12:42.521 W/System.err(19139): 	at coil.target.ImageViewTarget.f(SourceFile:3)
06-12 23:12:42.521 W/System.err(19139): 	at coil.target.GenericViewTarget.h(SourceFile:19)
06-12 23:12:42.521 W/System.err(19139): 	at coil.target.GenericViewTarget.c(SourceFile:1)
06-12 23:12:42.521 W/System.err(19139): 	at coil.RealImageLoader.c(SourceFile:255)
06-12 23:12:42.521 W/System.err(19139): 	at coil.RealImageLoader$enqueue$job$1.invokeSuspend(SourceFile:32)
06-12 23:12:42.521 W/System.err(19139): 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(SourceFile:9)
06-12 23:12:42.521 W/System.err(19139): 	at Yg.i.a(SourceFile:129)
06-12 23:12:42.521 W/System.err(19139): 	at S3.A.s(SourceFile:11)
06-12 23:12:42.521 W/System.err(19139): 	at kotlinx.coroutines.a.p0(SourceFile:81)
06-12 23:12:42.521 W/System.err(19139): 	at kotlinx.coroutines.d.a(SourceFile:18)
06-12 23:12:42.521 W/System.err(19139): 	at coil.RealImageLoader.b(SourceFile:10)
06-12 23:12:42.521 W/System.err(19139): 	at coil.request.ViewTargetRequestManager.onViewAttachedToWindow(SourceFile:13)
06-12 23:12:42.521 W/System.err(19139): 	at android.view.View.dispatchAttachedToWindow(View.java:20490)
06-12 23:12:42.521 W/System.err(19139): 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3496)
06-12 23:12:42.521 W/System.err(19139): 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3496)
06-12 23:12:42.521 W/System.err(19139): 	at android.view.ViewGroup.addViewInner(ViewGroup.java:5278)
06-12 23:12:42.521 W/System.err(19139): 	at android.view.ViewGroup.addView(ViewGroup.java:5064)
06-12 23:12:42.521 W/System.err(19139): 	at android.view.ViewGroup.addView(ViewGroup.java:5004)
06-12 23:12:42.521 W/System.err(19139): 	at androidx.recyclerview.widget.e.a(SourceFile:26)
